author_type,pub_year,mean_score,count
,1999,7.0246031746031745,126
,2000,6.73607305936073,219
,2001,7.229225352112674,284
,2002,6.769404517453801,487
,2003,6.640054495912804,367
,2004,7.0724935732647785,389
,2005,6.732758620689655,348
,2006,6.808285714285715,350
,2007,6.813467048710604,349
,2008,6.771739130434776,368
,2009,6.748659003831417,261
,2010,6.9237499999999965,160
,2011,6.81111111111111,54
,2012,6.734666666666667,75
,2013,7.145454545454545,11
,2014,6.79375,16
,2015,7.125,8
,2016,7.50625,32
assistant editor,2015,7.2,1
assistant editor,2016,7.553333333333334,15
associate editor,2008,6.800000000000001,21
associate editor,2009,8.0,1
associate editor,2015,6.519999999999999,5
associate editor,2016,6.620000000000002,10
associate features editor,2015,5.6,1
associate features editor,2016,6.5,10
associate reviews editor,2011,7.5,1
associate reviews editor,2012,7.784615384615384,13
associate reviews editor,2013,7.885714285714286,7
associate reviews editor,2014,8.34,5
associate reviews editor,2015,8.066666666666668,6
associate reviews editor,2016,8.412500000000001,8
associate reviews editor,2017,9.0,1
associate staff writer,2015,6.665217391304348,23
associate staff writer,2016,7.076543209876544,81
associate staff writer,2017,8.6,1
contributing editor,2005,8.3,4
contributing editor,2006,7.862500000000001,8
contributing editor,2007,7.70909090909091,11
contributing editor,2008,8.033333333333333,6
contributing editor,2009,7.9142857142857155,7
contributing editor,2010,7.8428571428571425,7
contributing editor,2011,7.585714285714286,7
contributing editor,2012,8.2,5
contributing editor,2014,7.5476190476190474,21
contributing editor,2015,7.377049180327869,61
contributing editor,2016,7.5,72
contributing editor,2017,7.4,1
contributor,1999,6.538709677419353,62
contributor,2000,6.81090909090909,110
contributor,2001,6.960126582278479,158
contributor,2002,6.844029850746273,402
contributor,2003,7.0895666131621216,623
contributor,2004,7.288821752265865,662
contributor,2005,7.275825825825833,666
contributor,2006,7.135618479880778,671
contributor,2007,6.896164383561646,730
contributor,2008,6.918575418994419,716
contributor,2009,6.829182389937105,795
contributor,2010,6.95603543743078,903
contributor,2011,7.01127596439169,1011
contributor,2012,6.977486910994765,955
contributor,2013,7.019905213270131,1055
contributor,2014,7.043924302788851,1004
contributor,2015,7.070084566596195,946
contributor,2016,7.215778251599149,938
contributor,2017,7.084615384615385,13
deputy news editor,2011,6.672727272727272,11
deputy news editor,2012,6.8100000000000005,20
deputy news editor,2013,7.1800000000000015,25
deputy news editor,2014,6.907692307692309,26
deputy news editor,2015,7.25,12
deputy news editor,2016,7.766666666666666,6
editor-in-chief,1999,6.897142857142858,35
editor-in-chief,2000,7.326315789473684,19
editor-in-chief,2001,7.269230769230769,13
editor-in-chief,2002,5.966666666666666,6
editor-in-chief,2003,6.757142857142857,7
editor-in-chief,2004,8.7,1
editor-in-chief,2005,8.05,2
editor-in-chief,2006,9.1,1
editor-in-chief,2007,8.5,1
executive editor,2001,5.2,1
executive editor,2002,7.6071428571428585,28
executive editor,2003,7.2396825396825415,63
executive editor,2004,7.514285714285716,42
executive editor,2005,7.525423728813561,59
executive editor,2006,7.230645161290323,62
executive editor,2007,7.0,44
executive editor,2008,7.864705882352941,17
executive editor,2009,8.394117647058824,17
executive editor,2010,8.227777777777778,18
executive editor,2011,8.066666666666668,21
executive editor,2012,7.811538461538462,26
executive editor,2013,7.899999999999999,17
executive editor,2014,7.904545454545455,22
executive editor,2015,7.874074074074074,27
executive editor,2016,8.254545454545454,11
managing editor,2015,7.8,1
managing editor,2016,6.800000000000001,2
news director,2005,5.525,4
news director,2006,7.9,1
senior editor,2005,6.104000000000002,25
senior editor,2006,6.403846153846155,26
senior editor,2007,6.616666666666667,18
senior editor,2008,6.808333333333333,24
senior editor,2009,6.6432432432432424,37
senior editor,2010,7.075,44
senior editor,2011,7.410256410256411,39
senior editor,2012,7.210526315789475,76
senior editor,2013,7.118666666666666,75
senior editor,2014,7.301785714285715,56
senior editor,2015,7.265000000000002,40
senior editor,2016,8.061538461538463,26
senior staff writer,2004,6.133333333333334,27
senior staff writer,2005,6.407692307692308,78
senior staff writer,2006,6.110606060606059,66
senior staff writer,2007,6.971428571428571,63
senior staff writer,2008,6.720408163265305,49
senior staff writer,2009,6.5,53
senior staff writer,2010,6.699999999999999,38
senior staff writer,2011,7.1380952380952385,21
senior staff writer,2012,7.413333333333332,15
senior staff writer,2013,7.2700000000000005,10
senior staff writer,2014,7.158333333333334,12
senior staff writer,2015,6.375,4
senior staff writer,2016,5.8999999999999995,3
tracks coordinator,2016,6.9490196078431365,51
tracks coordinator,2017,8.1,1
